1.1	1.87874e-32	1.98636e-30
1.13438	8.78997e-34	3.95807e-30
1.18327	1.25137e-34	5.13455e-30
1.23427	3.69142e-35	5.60935e-30
1.28748	1.497e-35	5.9349e-30
1.34297	7.28454e-36	6.10305e-30
1.40086	3.98959e-36	6.18904e-30
1.46124	2.37908e-36	6.19663e-30
1.52423	1.51406e-36	6.14963e-30
1.58993	1.0145e-36	6.06741e-30
1.65846	7.09242e-37	5.943e-30
1.72994	5.14086e-37	5.81208e-30
1.80451	3.8419e-37	5.65979e-30
1.88229	2.9505e-37	5.49488e-30
1.96343	2.31968e-37	5.3036e-30
2.04806	1.86226e-37	5.13468e-30
2.13634	1.52321e-37	4.94009e-30
2.22842	1.26686e-37	4.74377e-30
2.32448	1.06945e-37	4.55131e-30
2.42467	9.15119e-38	4.35791e-30
2.52918	7.92735e-38	4.1725e-30
2.6382	6.94246e-38	3.98705e-30
2.75192	6.1403e-38	3.8102e-30
2.87053	5.48059e-38	3.62736e-30
2.99427	4.93169e-38	3.44328e-30
3.12333	4.47073e-38	3.27765e-30
3.25796	4.08027e-38	3.11292e-30
3.39839	3.74734e-38	2.95831e-30
3.54487	3.46092e-38	2.81288e-30
3.69767	3.21262e-38	2.66422e-30
3.85705	2.99613e-38	2.52068e-30
4.02331	2.80649e-38	2.39008e-30
4.19673	2.6391e-38	2.2647e-30
4.37762	2.49064e-38	2.1382e-30
4.56631	2.35847e-38	2.02379e-30
4.76314	2.24048e-38	1.91608e-30
4.96845	2.13498e-38	1.80851e-30
5.18261	2.04059e-38	1.71142e-30
5.406	1.95617e-38	1.62109e-30
5.63902	1.88088e-38	1.52463e-30
5.88208	1.81375e-38	1.4452e-30
6.13562	1.75425e-38	1.36614e-30
6.40009	1.70184e-38	1.28828e-30
6.67596	1.65604e-38	1.21931e-30
6.96372	1.61644e-38	1.14858e-30
7.26388	1.58266e-38	1.08738e-30
7.57698	1.55438e-38	1.02889e-30
7.90358	1.53154e-38	9.70635e-31
8.24426	1.51332e-38	9.18997e-31
8.59962	1.49981e-38	8.69049e-31
8.97029	1.49076e-38	8.20188e-31
9.35695	1.48599e-38	7.77114e-31
9.76027	1.4853e-38	7.36903e-31
10.181	1.48854e-38	6.94454e-31
10.6198	1.49556e-38	6.59147e-31
11.0776	1.50624e-38	6.25432e-31
11.5551	1.52048e-38	5.91251e-31
12.0531	1.5382e-38	5.60036e-31
12.5727	1.55933e-38	5.32035e-31
13.1146	1.58382e-38	5.05683e-31
13.6799	1.61163e-38	4.80014e-31
14.2695	1.64273e-38	4.55549e-31
14.8846	1.67713e-38	4.32288e-31
15.5262	1.71481e-38	4.10954e-31
16.1954	1.75579e-38	3.91115e-31
16.8935	1.8001e-38	3.72546e-31
17.6217	1.84777e-38	3.54997e-31
18.3812	1.89885e-38	3.38281e-31
19.1735	1.9534e-38	3.22637e-31
20	2.04147e-38	3.2196e-31
23.3954	2.29386e-38	2.74087e-31
27.3673	2.60205e-38	2.36769e-31
32.0135	2.97291e-38	2.06337e-31
37.4485	3.4151e-38	1.82624e-31
43.8061	3.93917e-38	1.64591e-31
51.2432	4.55784e-38	1.49835e-31
59.9428	5.2862e-38	1.39187e-31
70.1194	6.14209e-38	1.31419e-31
82.0237	7.14654e-38	1.27154e-31
95.9489	8.32424e-38	1.25095e-31
112.238	9.7042e-38	1.25835e-31
131.293	1.13204e-37	1.28135e-31
153.583	1.32126e-37	1.31637e-31
179.657	1.54274e-37	1.37678e-31
210.158	1.80195e-37	1.44409e-31
245.836	2.10526e-37	1.5343e-31
287.572	2.46016e-37	1.6448e-31
336.394	2.87537e-37	1.76369e-31
393.504	3.36114e-37	1.92461e-31
460.31	3.92944e-37	2.10441e-31
538.457	4.59426e-37	2.29998e-31
629.872	5.37198e-37	2.57735e-31
736.806	6.28178e-37	2.81818e-31
861.895	7.34606e-37	3.17498e-31
1008.22	8.59105e-37	3.50304e-31
